| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          Off |   00000000:9B:00.0 Off |                    0 |
| N/A   26C    P0             57W /  400W |       1MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Module load: anaconda/3-2024.10-1
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/condabin/conda
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/conda
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/conda-env
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/activate
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/deactivate
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/etc/profile.d/conda.sh
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/etc/fish/conf.d/conda.fish
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/shell/condabin/Conda.psm1
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/shell/condabin/conda-hook.ps1
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/etc/profile.d/conda.csh
modified      /home/aaron.dichoso/.bashrc

==> For changes to take effect, close and re-open your current shell. <==

--------------------training----------------------
/home/aaron.dichoso/.conda/envs/RISNet/lib/python3.8/site-packages/torch/utils/data/dataloader.py:560: UserWarning: This DataLoader will create 20 worker processes in total. Our suggested max number of worker in current system is 8, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
[2025-07-21 13:05:37.966030] => [Epoch Num: 001/100] => [Global Step: 0680/1150] => [Loss: 2.0642]
[2025-07-21 13:05:54.678659] => [Epoch Num: 001/100] => [Global Step: 0700/1150] => [Loss: 1.9866]
[2025-07-21 13:06:11.478677] => [Epoch Num: 001/100] => [Global Step: 0720/1150] => [Loss: 1.8719]
[2025-07-21 13:06:28.281964] => [Epoch Num: 001/100] => [Global Step: 0740/1150] => [Loss: 1.9249]
[2025-07-21 13:06:46.346040] => [Epoch Num: 001/100] => [Global Step: 0760/1150] => [Loss: 1.8641]
[2025-07-21 13:07:02.920824] => [Epoch Num: 001/100] => [Global Step: 0780/1150] => [Loss: 1.7263]
[2025-07-21 13:07:19.467876] => [Epoch Num: 001/100] => [Global Step: 0800/1150] => [Loss: 1.7522]
/home/aaron.dichoso/.conda/envs/RISNet/lib/python3.8/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='mean' instead.
  warnings.warn(warning.format(ret))
[2025-07-21 13:07:35.968290] => [Epoch Num: 001/100] => [Global Step: 0820/1150] => [Loss: 1.8875]
[2025-07-21 13:07:52.478249] => [Epoch Num: 001/100] => [Global Step: 0840/1150] => [Loss: 1.7387]
[2025-07-21 13:08:09.063157] => [Epoch Num: 001/100] => [Global Step: 0860/1150] => [Loss: 1.8780]
[2025-07-21 13:08:25.643056] => [Epoch Num: 001/100] => [Global Step: 0880/1150] => [Loss: 1.7166]
[2025-07-21 13:08:42.169390] => [Epoch Num: 001/100] => [Global Step: 0900/1150] => [Loss: 1.8338]
[2025-07-21 13:08:58.718155] => [Epoch Num: 001/100] => [Global Step: 0920/1150] => [Loss: 1.7713]
[2025-07-21 13:09:17.130085] => [Epoch Num: 001/100] => [Global Step: 0940/1150] => [Loss: 1.6646]
[2025-07-21 13:09:33.702150] => [Epoch Num: 001/100] => [Global Step: 0960/1150] => [Loss: 1.8393]
[2025-07-21 13:09:50.298467] => [Epoch Num: 001/100] => [Global Step: 0980/1150] => [Loss: 1.8447]
[2025-07-21 13:10:07.609575] => [Epoch Num: 001/100] => [Global Step: 1000/1150] => [Loss: 1.8372]
[2025-07-21 13:10:24.799599] => [Epoch Num: 001/100] => [Global Step: 1020/1150] => [Loss: 1.7532]
[2025-07-21 13:10:41.464103] => [Epoch Num: 001/100] => [Global Step: 1040/1150] => [Loss: 1.5941]
[2025-07-21 13:10:58.149331] => [Epoch Num: 001/100] => [Global Step: 1060/1150] => [Loss: 1.6890]
[2025-07-21 13:11:14.881237] => [Epoch Num: 001/100] => [Global Step: 1080/1150] => [Loss: 1.7568]
[2025-07-21 13:11:31.642863] => [Epoch Num: 001/100] => [Global Step: 1100/1150] => [Loss: 1.5418]
[2025-07-21 13:11:48.300042] => [Epoch Num: 001/100] => [Global Step: 1120/1150] => [Loss: 1.6656]
[2025-07-21 13:12:04.837497] => [Epoch Num: 001/100] => [Global Step: 1140/1150] => [Loss: 1.4925]
[2025-07-21 13:12:22.765408] => [Epoch Num: 002/100] => [Global Step: 0000/1150] => [Loss: 1.7276]
[2025-07-21 13:12:41.225857] => [Epoch Num: 002/100] => [Global Step: 0020/1150] => [Loss: 1.7143]
[2025-07-21 13:12:58.817361] => [Epoch Num: 002/100] => [Global Step: 0040/1150] => [Loss: 1.5406]
[2025-07-21 13:13:15.929090] => [Epoch Num: 002/100] => [Global Step: 0060/1150] => [Loss: 1.7251]
[2025-07-21 13:13:32.919150] => [Epoch Num: 002/100] => [Global Step: 0080/1150] => [Loss: 1.4967]
[2025-07-21 13:13:49.903693] => [Epoch Num: 002/100] => [Global Step: 0100/1150] => [Loss: 1.6722]
[2025-07-21 13:14:06.692910] => [Epoch Num: 002/100] => [Global Step: 0120/1150] => [Loss: 1.6485]
[2025-07-21 13:14:23.646085] => [Epoch Num: 002/100] => [Global Step: 0140/1150] => [Loss: 1.6653]
[2025-07-21 13:14:40.421296] => [Epoch Num: 002/100] => [Global Step: 0160/1150] => [Loss: 1.5320]
[2025-07-21 13:14:57.589278] => [Epoch Num: 002/100] => [Global Step: 0180/1150] => [Loss: 1.5055]
[2025-07-21 13:15:14.329801] => [Epoch Num: 002/100] => [Global Step: 0200/1150] => [Loss: 1.6329]
[2025-07-21 13:15:31.089268] => [Epoch Num: 002/100] => [Global Step: 0220/1150] => [Loss: 1.4133]
[2025-07-21 13:15:48.150873] => [Epoch Num: 002/100] => [Global Step: 0240/1150] => [Loss: 1.3641]
[2025-07-21 13:16:05.156567] => [Epoch Num: 002/100] => [Global Step: 0260/1150] => [Loss: 1.3911]
[2025-07-21 13:16:22.181280] => [Epoch Num: 002/100] => [Global Step: 0280/1150] => [Loss: 1.3677]
[2025-07-21 13:16:39.228058] => [Epoch Num: 002/100] => [Global Step: 0300/1150] => [Loss: 1.3994]
[2025-07-21 13:16:56.968238] => [Epoch Num: 002/100] => [Global Step: 0320/1150] => [Loss: 1.4585]
[2025-07-21 13:17:14.010260] => [Epoch Num: 002/100] => [Global Step: 0340/1150] => [Loss: 1.2982]
[2025-07-21 13:17:31.100374] => [Epoch Num: 002/100] => [Global Step: 0360/1150] => [Loss: 1.2444]
[2025-07-21 13:17:48.173365] => [Epoch Num: 002/100] => [Global Step: 0380/1150] => [Loss: 1.5633]
[2025-07-21 13:18:06.053076] => [Epoch Num: 002/100] => [Global Step: 0400/1150] => [Loss: 1.4941]
[2025-07-21 13:18:22.959676] => [Epoch Num: 002/100] => [Global Step: 0420/1150] => [Loss: 1.3297]
[2025-07-21 13:18:39.904598] => [Epoch Num: 002/100] => [Global Step: 0440/1150] => [Loss: 1.4751]
[2025-07-21 13:18:56.886511] => [Epoch Num: 002/100] => [Global Step: 0460/1150] => [Loss: 1.4940]
[2025-07-21 13:19:13.835278] => [Epoch Num: 002/100] => [Global Step: 0480/1150] => [Loss: 1.3261]
[2025-07-21 13:19:31.802354] => [Epoch Num: 002/100] => [Global Step: 0500/1150] => [Loss: 1.6039]
[2025-07-21 13:19:48.736223] => [Epoch Num: 002/100] => [Global Step: 0520/1150] => [Loss: 1.4444]
[2025-07-21 13:20:05.687649] => [Epoch Num: 002/100] => [Global Step: 0540/1150] => [Loss: 1.1847]
[2025-07-21 13:20:22.642562] => [Epoch Num: 002/100] => [Global Step: 0560/1150] => [Loss: 1.3983]
[2025-07-21 13:20:39.597139] => [Epoch Num: 002/100] => [Global Step: 0580/1150] => [Loss: 1.2114]
[2025-07-21 13:20:56.455755] => [Epoch Num: 002/100] => [Global Step: 0600/1150] => [Loss: 1.3016]
[2025-07-21 13:21:13.286429] => [Epoch Num: 002/100] => [Global Step: 0620/1150] => [Loss: 1.3209]
[2025-07-21 13:21:31.314318] => [Epoch Num: 002/100] => [Global Step: 0640/1150] => [Loss: 1.2565]
[2025-07-21 13:21:48.155252] => [Epoch Num: 002/100] => [Global Step: 0660/1150] => [Loss: 1.0606]
[2025-07-21 13:22:05.338620] => [Epoch Num: 002/100] => [Global Step: 0680/1150] => [Loss: 1.2907]
[2025-07-21 13:22:22.172061] => [Epoch Num: 002/100] => [Global Step: 0700/1150] => [Loss: 1.2593]
[2025-07-21 13:22:39.032117] => [Epoch Num: 002/100] => [Global Step: 0720/1150] => [Loss: 1.2818]
[2025-07-21 13:22:55.920915] => [Epoch Num: 002/100] => [Global Step: 0740/1150] => [Loss: 1.1618]
[2025-07-21 13:23:12.889343] => [Epoch Num: 002/100] => [Global Step: 0760/1150] => [Loss: 1.1726]
[2025-07-21 13:23:29.895381] => [Epoch Num: 002/100] => [Global Step: 0780/1150] => [Loss: 1.2364]
[2025-07-21 13:23:48.575066] => [Epoch Num: 002/100] => [Global Step: 0800/1150] => [Loss: 1.1443]
[2025-07-21 13:24:05.589665] => [Epoch Num: 002/100] => [Global Step: 0820/1150] => [Loss: 1.3175]
[2025-07-21 13:24:22.583569] => [Epoch Num: 002/100] => [Global Step: 0840/1150] => [Loss: 1.1957]
[2025-07-21 13:24:39.481299] => [Epoch Num: 002/100] => [Global Step: 0860/1150] => [Loss: 1.3398]
[2025-07-21 13:24:56.439670] => [Epoch Num: 002/100] => [Global Step: 0880/1150] => [Loss: 1.0957]
[2025-07-21 13:25:13.429337] => [Epoch Num: 002/100] => [Global Step: 0900/1150] => [Loss: 1.2178]
[2025-07-21 13:25:30.392294] => [Epoch Num: 002/100] => [Global Step: 0920/1150] => [Loss: 0.9884]
[2025-07-21 13:25:47.373750] => [Epoch Num: 002/100] => [Global Step: 0940/1150] => [Loss: 1.1374]
[2025-07-21 13:26:04.400094] => [Epoch Num: 002/100] => [Global Step: 0960/1150] => [Loss: 0.9711]
[2025-07-21 13:26:23.320210] => [Epoch Num: 002/100] => [Global Step: 0980/1150] => [Loss: 1.1841]
[2025-07-21 13:26:40.367272] => [Epoch Num: 002/100] => [Global Step: 1000/1150] => [Loss: 1.0937]
[2025-07-21 13:26:57.410473] => [Epoch Num: 002/100] => [Global Step: 1020/1150] => [Loss: 1.3925]
[2025-07-21 13:27:14.494222] => [Epoch Num: 002/100] => [Global Step: 1040/1150] => [Loss: 0.8179]
[2025-07-21 13:27:31.529793] => [Epoch Num: 002/100] => [Global Step: 1060/1150] => [Loss: 1.2327]
[2025-07-21 13:27:48.568207] => [Epoch Num: 002/100] => [Global Step: 1080/1150] => [Loss: 1.2604]
[2025-07-21 13:28:05.629889] => [Epoch Num: 002/100] => [Global Step: 1100/1150] => [Loss: 1.2475]
[2025-07-21 13:28:22.560016] => [Epoch Num: 002/100] => [Global Step: 1120/1150] => [Loss: 1.1228]
[2025-07-21 13:28:39.372765] => [Epoch Num: 002/100] => [Global Step: 1140/1150] => [Loss: 1.1466]
[2025-07-21 13:28:59.196349] => [Epoch Num: 003/100] => [Global Step: 0000/1150] => [Loss: 1.1594]
[2025-07-21 13:29:16.336161] => [Epoch Num: 003/100] => [Global Step: 0020/1150] => [Loss: 0.9505]
[2025-07-21 13:29:33.252933] => [Epoch Num: 003/100] => [Global Step: 0040/1150] => [Loss: 1.0434]
[2025-07-21 13:29:50.149739] => [Epoch Num: 003/100] => [Global Step: 0060/1150] => [Loss: 1.1089]
[2025-07-21 13:30:07.272865] => [Epoch Num: 003/100] => [Global Step: 0080/1150] => [Loss: 1.0681]
[2025-07-21 13:30:24.371586] => [Epoch Num: 003/100] => [Global Step: 0100/1150] => [Loss: 1.0637]
[2025-07-21 13:30:41.329364] => [Epoch Num: 003/100] => [Global Step: 0120/1150] => [Loss: 0.9852]
[2025-07-21 13:30:58.610305] => [Epoch Num: 003/100] => [Global Step: 0140/1150] => [Loss: 0.9907]
[2025-07-21 13:31:15.539523] => [Epoch Num: 003/100] => [Global Step: 0160/1150] => [Loss: 0.7835]
[2025-07-21 13:31:32.712699] => [Epoch Num: 003/100] => [Global Step: 0180/1150] => [Loss: 1.0901]
[2025-07-21 13:31:49.659937] => [Epoch Num: 003/100] => [Global Step: 0200/1150] => [Loss: 1.2216]
[2025-07-21 13:32:06.627518] => [Epoch Num: 003/100] => [Global Step: 0220/1150] => [Loss: 0.9282]
[2025-07-21 13:32:24.118882] => [Epoch Num: 003/100] => [Global Step: 0240/1150] => [Loss: 1.0377]
[2025-07-21 13:32:41.119093] => [Epoch Num: 003/100] => [Global Step: 0260/1150] => [Loss: 1.0402]
[2025-07-21 13:32:58.086933] => [Epoch Num: 003/100] => [Global Step: 0280/1150] => [Loss: 1.0495]
[2025-07-21 13:33:15.064588] => [Epoch Num: 003/100] => [Global Step: 0300/1150] => [Loss: 0.9266]
[2025-07-21 13:33:32.441271] => [Epoch Num: 003/100] => [Global Step: 0320/1150] => [Loss: 0.9365]
[2025-07-21 13:33:49.501333] => [Epoch Num: 003/100] => [Global Step: 0340/1150] => [Loss: 1.0639]
[2025-07-21 13:34:06.610419] => [Epoch Num: 003/100] => [Global Step: 0360/1150] => [Loss: 1.0331]
[2025-07-21 13:34:23.717150] => [Epoch Num: 003/100] => [Global Step: 0380/1150] => [Loss: 0.9791]
[2025-07-21 13:34:41.639158] => [Epoch Num: 003/100] => [Global Step: 0400/1150] => [Loss: 0.7434]
[2025-07-21 13:34:58.752732] => [Epoch Num: 003/100] => [Global Step: 0420/1150] => [Loss: 0.9416]
[2025-07-21 13:35:15.921253] => [Epoch Num: 003/100] => [Global Step: 0440/1150] => [Loss: 0.9013]
[2025-07-21 13:35:33.083924] => [Epoch Num: 003/100] => [Global Step: 0460/1150] => [Loss: 0.8861]
[2025-07-21 13:35:50.263443] => [Epoch Num: 003/100] => [Global Step: 0480/1150] => [Loss: 0.9811]
[2025-07-21 13:36:07.411325] => [Epoch Num: 003/100] => [Global Step: 0500/1150] => [Loss: 0.9169]
[2025-07-21 13:36:25.534088] => [Epoch Num: 003/100] => [Global Step: 0520/1150] => [Loss: 0.8674]
[2025-07-21 13:36:42.667360] => [Epoch Num: 003/100] => [Global Step: 0540/1150] => [Loss: 0.9609]
[2025-07-21 13:36:59.811485] => [Epoch Num: 003/100] => [Global Step: 0560/1150] => [Loss: 0.5768]
[2025-07-21 13:37:16.948584] => [Epoch Num: 003/100] => [Global Step: 0580/1150] => [Loss: 0.9482]
[2025-07-21 13:37:34.088218] => [Epoch Num: 003/100] => [Global Step: 0600/1150] => [Loss: 0.7094]
[2025-07-21 13:37:51.242860] => [Epoch Num: 003/100] => [Global Step: 0620/1150] => [Loss: 0.7676]
[2025-07-21 13:38:09.674742] => [Epoch Num: 003/100] => [Global Step: 0640/1150] => [Loss: 1.0436]
[2025-07-21 13:38:26.889046] => [Epoch Num: 003/100] => [Global Step: 0660/1150] => [Loss: 1.0593]
[2025-07-21 13:38:44.087258] => [Epoch Num: 003/100] => [Global Step: 0680/1150] => [Loss: 1.0282]
[2025-07-21 13:39:01.319701] => [Epoch Num: 003/100] => [Global Step: 0700/1150] => [Loss: 0.6426]
[2025-07-21 13:39:18.511573] => [Epoch Num: 003/100] => [Global Step: 0720/1150] => [Loss: 1.0571]
[2025-07-21 13:39:35.694651] => [Epoch Num: 003/100] => [Global Step: 0740/1150] => [Loss: 0.7629]
[2025-07-21 13:39:52.875214] => [Epoch Num: 003/100] => [Global Step: 0760/1150] => [Loss: 0.8537]
[2025-07-21 13:40:10.095053] => [Epoch Num: 003/100] => [Global Step: 0780/1150] => [Loss: 1.1845]
[2025-07-21 13:40:29.033035] => [Epoch Num: 003/100] => [Global Step: 0800/1150] => [Loss: 0.9297]
[2025-07-21 13:40:46.279847] => [Epoch Num: 003/100] => [Global Step: 0820/1150] => [Loss: 0.7158]
[2025-07-21 13:41:03.520021] => [Epoch Num: 003/100] => [Global Step: 0840/1150] => [Loss: 0.9043]
[2025-07-21 13:41:20.734146] => [Epoch Num: 003/100] => [Global Step: 0860/1150] => [Loss: 0.8638]
[2025-07-21 13:41:37.998530] => [Epoch Num: 003/100] => [Global Step: 0880/1150] => [Loss: 0.8337]
[2025-07-21 13:41:55.285130] => [Epoch Num: 003/100] => [Global Step: 0900/1150] => [Loss: 0.8032]
[2025-07-21 13:42:12.585697] => [Epoch Num: 003/100] => [Global Step: 0920/1150] => [Loss: 0.7067]
[2025-07-21 13:42:29.860888] => [Epoch Num: 003/100] => [Global Step: 0940/1150] => [Loss: 0.7896]
[2025-07-21 13:42:47.160283] => [Epoch Num: 003/100] => [Global Step: 0960/1150] => [Loss: 0.6614]
[2025-07-21 13:43:04.447612] => [Epoch Num: 003/100] => [Global Step: 0980/1150] => [Loss: 0.8223]
[2025-07-21 13:43:23.692181] => [Epoch Num: 003/100] => [Global Step: 1000/1150] => [Loss: 0.9020]
[2025-07-21 13:43:41.019471] => [Epoch Num: 003/100] => [Global Step: 1020/1150] => [Loss: 0.8106]
[2025-07-21 13:43:58.338406] => [Epoch Num: 003/100] => [Global Step: 1040/1150] => [Loss: 0.9880]
[2025-07-21 13:44:15.619117] => [Epoch Num: 003/100] => [Global Step: 1060/1150] => [Loss: 0.7018]
[2025-07-21 13:44:32.903150] => [Epoch Num: 003/100] => [Global Step: 1080/1150] => [Loss: 0.7995]
[2025-07-21 13:44:50.224024] => [Epoch Num: 003/100] => [Global Step: 1100/1150] => [Loss: 0.6215]
[2025-07-21 13:45:07.449410] => [Epoch Num: 003/100] => [Global Step: 1120/1150] => [Loss: 0.7020]
[2025-07-21 13:45:24.473061] => [Epoch Num: 003/100] => [Global Step: 1140/1150] => [Loss: 0.7475]
[2025-07-21 13:45:45.191226] => [Epoch Num: 004/100] => [Global Step: 0000/1150] => [Loss: 0.9123]
[2025-07-21 13:46:02.523652] => [Epoch Num: 004/100] => [Global Step: 0020/1150] => [Loss: 0.8650]
[2025-07-21 13:46:19.818737] => [Epoch Num: 004/100] => [Global Step: 0040/1150] => [Loss: 0.8788]
[2025-07-21 13:46:37.162838] => [Epoch Num: 004/100] => [Global Step: 0060/1150] => [Loss: 0.8656]
[2025-07-21 13:46:54.751972] => [Epoch Num: 004/100] => [Global Step: 0080/1150] => [Loss: 0.6130]
[2025-07-21 13:47:12.768826] => [Epoch Num: 004/100] => [Global Step: 0100/1150] => [Loss: 0.5722]
[2025-07-21 13:47:30.248080] => [Epoch Num: 004/100] => [Global Step: 0120/1150] => [Loss: 0.5680]
[2025-07-21 13:47:47.640096] => [Epoch Num: 004/100] => [Global Step: 0140/1150] => [Loss: 0.7986]
[2025-07-21 13:48:05.241555] => [Epoch Num: 004/100] => [Global Step: 0160/1150] => [Loss: 0.7597]
[2025-07-21 13:48:22.577459] => [Epoch Num: 004/100] => [Global Step: 0180/1150] => [Loss: 0.8300]
[2025-07-21 13:48:39.907418] => [Epoch Num: 004/100] => [Global Step: 0200/1150] => [Loss: 0.6543]
[2025-07-21 13:48:57.713562] => [Epoch Num: 004/100] => [Global Step: 0220/1150] => [Loss: 0.6895]
[2025-07-21 13:49:15.060088] => [Epoch Num: 004/100] => [Global Step: 0240/1150] => [Loss: 0.7201]
[2025-07-21 13:49:32.446111] => [Epoch Num: 004/100] => [Global Step: 0260/1150] => [Loss: 0.5716]
[2025-07-21 13:49:50.351606] => [Epoch Num: 004/100] => [Global Step: 0280/1150] => [Loss: 0.6796]
[2025-07-21 13:50:07.748395] => [Epoch Num: 004/100] => [Global Step: 0300/1150] => [Loss: 0.8247]
[2025-07-21 13:50:25.148891] => [Epoch Num: 004/100] => [Global Step: 0320/1150] => [Loss: 0.8236]
[2025-07-21 13:50:42.550806] => [Epoch Num: 004/100] => [Global Step: 0340/1150] => [Loss: 0.7707]
[2025-07-21 13:51:00.495773] => [Epoch Num: 004/100] => [Global Step: 0360/1150] => [Loss: 0.8045]
[2025-07-21 13:51:17.960668] => [Epoch Num: 004/100] => [Global Step: 0380/1150] => [Loss: 0.6076]
[2025-07-21 13:51:35.415966] => [Epoch Num: 004/100] => [Global Step: 0400/1150] => [Loss: 0.9733]
[2025-07-21 13:51:52.899565] => [Epoch Num: 004/100] => [Global Step: 0420/1150] => [Loss: 0.6072]
[2025-07-21 13:52:10.397783] => [Epoch Num: 004/100] => [Global Step: 0440/1150] => [Loss: 0.6971]
[2025-07-21 13:52:28.788869] => [Epoch Num: 004/100] => [Global Step: 0460/1150] => [Loss: 0.6145]
[2025-07-21 13:52:46.286435] => [Epoch Num: 004/100] => [Global Step: 0480/1150] => [Loss: 1.1587]
