2025-09-25 12:30:28.582123 Epoch [002/100], Step [0150/1150], Loss1: 0.5673 Loss2: 1.1647 Loss3: 0.5280
2025-09-25 12:31:31.456514 Epoch [002/100], Step [0200/1150], Loss1: 0.5979 Loss2: 1.1018 Loss3: 0.5938
2025-09-25 12:32:34.260755 Epoch [002/100], Step [0250/1150], Loss1: 0.7197 Loss2: 1.0612 Loss3: 0.6870
2025-09-25 12:33:37.010470 Epoch [002/100], Step [0300/1150], Loss1: 0.5927 Loss2: 1.0763 Loss3: 0.5690
2025-09-25 12:34:39.872013 Epoch [002/100], Step [0350/1150], Loss1: 0.6002 Loss2: 1.0706 Loss3: 0.5494
2025-09-25 12:35:42.604550 Epoch [002/100], Step [0400/1150], Loss1: 0.6040 Loss2: 1.0684 Loss3: 0.5737
2025-09-25 12:36:45.385326 Epoch [002/100], Step [0450/1150], Loss1: 0.5073 Loss2: 1.1117 Loss3: 0.4639
2025-09-25 12:37:48.246628 Epoch [002/100], Step [0500/1150], Loss1: 0.5078 Loss2: 1.0833 Loss3: 0.4685
2025-09-25 12:38:51.051340 Epoch [002/100], Step [0550/1150], Loss1: 0.4274 Loss2: 1.1284 Loss3: 0.4095
2025-09-25 12:39:53.925194 Epoch [002/100], Step [0600/1150], Loss1: 0.5220 Loss2: 1.0701 Loss3: 0.5058
2025-09-25 12:40:56.642084 Epoch [002/100], Step [0650/1150], Loss1: 0.5088 Loss2: 1.0735 Loss3: 0.4851
2025-09-25 12:41:59.402799 Epoch [002/100], Step [0700/1150], Loss1: 0.5094 Loss2: 1.0351 Loss3: 0.4613
2025-09-25 12:43:02.100154 Epoch [002/100], Step [0750/1150], Loss1: 0.5532 Loss2: 1.0174 Loss3: 0.5250
2025-09-25 12:44:05.239558 Epoch [002/100], Step [0800/1150], Loss1: 0.5820 Loss2: 0.9079 Loss3: 0.5573
2025-09-25 12:45:08.044041 Epoch [002/100], Step [0850/1150], Loss1: 0.5913 Loss2: 0.9835 Loss3: 0.5567
2025-09-25 12:46:10.848616 Epoch [002/100], Step [0900/1150], Loss1: 0.5609 Loss2: 0.8846 Loss3: 0.5426
2025-09-25 12:47:13.574067 Epoch [002/100], Step [0950/1150], Loss1: 0.4547 Loss2: 0.8935 Loss3: 0.4373
2025-09-25 12:48:16.422291 Epoch [002/100], Step [1000/1150], Loss1: 0.6596 Loss2: 0.9694 Loss3: 0.6351
2025-09-25 12:49:19.160791 Epoch [002/100], Step [1050/1150], Loss1: 0.5553 Loss2: 0.8262 Loss3: 0.5211
2025-09-25 12:50:22.046741 Epoch [002/100], Step [1100/1150], Loss1: 0.5344 Loss2: 0.9264 Loss3: 0.5229
2025-09-25 12:51:24.540398 Epoch [002/100], Step [1150/1150], Loss1: 0.4942 Loss2: 0.8177 Loss3: 0.4708
