Network,Plant,S,FWB,E,MAE
FSPNet,bean,0.585,0.216,0.67,0.006
FSPNet,cucumber,0.757,0.607,0.921,0.011
FSPNet,kiwi,0.819,0.729,0.959,0.013
FSPNet,loquat,0.669,0.412,0.858,0.011
FSPNet,peach,0.717,0.505,0.847,0.004
FSPNet,pepper,0.647,0.375,0.801,0.019
FSPNet,plum,0.602,0.327,0.656,0.032
FSPNet,tomato,0.796,0.674,0.926,0.015
FSPNet,watermelon,0.878,0.762,0.971,0.005
FSPNet,zucchini,0.806,0.682,0.942,0.009
FSPNet,Average,0.7276,0.5288999999999999,0.8551,0.0125
