Network,Plant,S,FWB,E,MAE
ZoomNet,bean,0.444,0.013,0.363,0.007
ZoomNet,cucumber,0.547,0.132,0.57,0.034
ZoomNet,kiwi,0.693,0.173,0.713,0.073
ZoomNet,loquat,0.638,0.286,0.818,0.015
ZoomNet,peach,0.799,0.163,0.796,0.011
ZoomNet,pepper,0.641,0.026,0.561,0.027
ZoomNet,plum,0.567,0.086,0.533,0.043
ZoomNet,tomato,0.647,0.401,0.761,0.041
ZoomNet,watermelon,0.677,0.355,0.716,0.038
ZoomNet,zucchini,0.689,0.415,0.79,0.036
ZoomNet,Average,0.6342000000000001,0.205,0.6621,0.032499999999999994
