Network,Plant,S,FWB,E,MAE
OCENet,bean,0.642,0.399,0.812,0.007
OCENet,cucumber,0.57,0.156,0.595,0.025
OCENet,kiwi,0.747,0.578,0.862,0.017
OCENet,loquat,0.541,0.117,0.71,0.018
OCENet,peach,0.599,0.142,0.604,0.007
OCENet,pepper,0.525,0.066,0.523,0.026
OCENet,plum,0.481,0.053,0.381,0.042
OCENet,tomato,0.757,0.602,0.873,0.016
OCENet,watermelon,0.773,0.539,0.822,0.007
OCENet,zucchini,0.867,0.809,0.983,0.007
OCENet,Average,0.6502,0.3461,0.7165,0.017200000000000003
