[2025-06-25 10:26:07.374221] => [Epoch Num: 004/100] => [Global Step: 0120/0168] => [Loss: 2.1654]
[2025-06-25 10:27:18.652030] => [Epoch Num: 004/100] => [Global Step: 0140/0168] => [Loss: 2.1256]
[2025-06-25 10:28:29.690401] => [Epoch Num: 004/100] => [Global Step: 0160/0168] => [Loss: 2.1330]
[2025-06-25 10:29:00.838933] => [Epoch Num: 005/100] => [Global Step: 0000/0168] => [Loss: 2.1110]
[2025-06-25 10:30:11.885422] => [Epoch Num: 005/100] => [Global Step: 0020/0168] => [Loss: 2.1022]
[2025-06-25 10:31:22.954376] => [Epoch Num: 005/100] => [Global Step: 0040/0168] => [Loss: 2.1240]
[2025-06-25 10:32:34.104091] => [Epoch Num: 005/100] => [Global Step: 0060/0168] => [Loss: 2.1124]
[2025-06-25 10:33:45.326400] => [Epoch Num: 005/100] => [Global Step: 0080/0168] => [Loss: 2.0758]
[2025-06-25 10:34:56.318565] => [Epoch Num: 005/100] => [Global Step: 0100/0168] => [Loss: 2.0834]
[2025-06-25 10:36:07.504717] => [Epoch Num: 005/100] => [Global Step: 0120/0168] => [Loss: 2.0859]
[2025-06-25 10:37:18.419969] => [Epoch Num: 005/100] => [Global Step: 0140/0168] => [Loss: 2.0705]
[2025-06-25 10:38:29.573420] => [Epoch Num: 005/100] => [Global Step: 0160/0168] => [Loss: 2.0365]
[2025-06-25 10:39:01.210409] => [Epoch Num: 006/100] => [Global Step: 0000/0168] => [Loss: 2.0314]
[2025-06-25 10:40:12.165092] => [Epoch Num: 006/100] => [Global Step: 0020/0168] => [Loss: 2.0264]
[2025-06-25 10:41:23.331041] => [Epoch Num: 006/100] => [Global Step: 0040/0168] => [Loss: 2.0455]
[2025-06-25 10:42:34.519420] => [Epoch Num: 006/100] => [Global Step: 0060/0168] => [Loss: 2.0369]
[2025-06-25 10:43:45.566294] => [Epoch Num: 006/100] => [Global Step: 0080/0168] => [Loss: 2.0004]
[2025-06-25 10:44:56.862385] => [Epoch Num: 006/100] => [Global Step: 0100/0168] => [Loss: 2.0136]
[2025-06-25 10:46:08.048070] => [Epoch Num: 006/100] => [Global Step: 0120/0168] => [Loss: 2.0046]
[2025-06-25 10:47:18.887009] => [Epoch Num: 006/100] => [Global Step: 0140/0168] => [Loss: 1.9777]
[2025-06-25 10:48:29.680650] => [Epoch Num: 006/100] => [Global Step: 0160/0168] => [Loss: 1.9710]
[2025-06-25 10:49:01.143829] => [Epoch Num: 007/100] => [Global Step: 0000/0168] => [Loss: 1.9737]
[2025-06-25 10:50:12.193703] => [Epoch Num: 007/100] => [Global Step: 0020/0168] => [Loss: 1.9716]
