Network,Class,S,FWB,E,MAE,Plant
SINet,AVERAGE,0.574,0.229,0.598,0.023,
SINet,,0.525,0.079,0.624,0.008,bean
SINet,,0.517,0.096,0.515,0.028,cucumber
SINet,,0.763,0.651,0.907,0.018,kiwi
SINet,,0.638,0.393,0.845,0.012,loquat
SINet,,0.631,0.359,0.873,0.006,peach
SINet,,0.49,0.042,0.385,0.026,pepper
SINet,,0.513,0.15,0.462,0.037,plum
SINet,,0.565,0.216,0.536,0.033,tomato
SINet,,0.5,0.045,0.454,0.017,watermelon
SINet,,0.586,0.247,0.645,0.02,zucchini
