Network,Class,S,FWB,E,MAE,Plant
FSPNet,AVERAGE,0.764,0.604,0.898,0.012,
FSPNet,,0.585,0.216,0.67,0.006,bean
FSPNet,,0.757,0.607,0.921,0.011,cucumber
FSPNet,,0.819,0.729,0.959,0.013,kiwi
FSPNet,,0.669,0.412,0.858,0.011,loquat
FSPNet,,0.717,0.505,0.847,0.004,peach
FSPNet,,0.647,0.375,0.801,0.019,pepper
FSPNet,,0.602,0.327,0.656,0.032,plum
FSPNet,,0.796,0.674,0.926,0.015,tomato
FSPNet,,0.878,0.762,0.971,0.005,watermelon
FSPNet,,0.806,0.682,0.942,0.009,zucchini
