Network,Class,S,FWB,E,MAE,Plant
PopNet,AVERAGE,0.82,0.712,0.939,0.01,
PopNet,,0.639,0.417,0.823,0.004,bean
PopNet,,0.841,0.758,0.959,0.007,cucumber
PopNet,,0.904,0.878,0.99,0.007,kiwi
PopNet,,0.834,0.782,0.991,0.006,loquat
PopNet,,0.839,0.735,0.966,0.003,peach
PopNet,,0.749,0.577,0.914,0.014,pepper
PopNet,,0.791,0.643,0.944,0.021,plum
PopNet,,0.858,0.795,0.971,0.01,tomato
PopNet,,0.927,0.891,0.981,0.002,watermelon
PopNet,,0.75,0.572,0.867,0.011,zucchini
