Network,Class,S,FWB,E,MAE,Plant
SINet_V2,AVERAGE,0.792,0.674,0.927,0.012,
SINet_V2,,0.61,0.303,0.712,0.006,bean
SINet_V2,,0.781,0.661,0.941,0.012,cucumber
SINet_V2,,0.873,0.85,0.985,0.008,kiwi
SINet_V2,,0.771,0.757,0.98,0.007,loquat
SINet_V2,,0.768,0.662,0.966,0.004,peach
SINet_V2,,0.631,0.338,0.759,0.02,pepper
SINet_V2,,0.745,0.556,0.91,0.025,plum
SINet_V2,,0.814,0.72,0.948,0.015,tomato
SINet_V2,,0.832,0.717,0.884,0.006,watermelon
SINet_V2,,0.85,0.773,0.978,0.008,zucchini
