Network,Class,S,FWB,E,MAE,Plant
OCENet,AVERAGE,0.674,0.408,0.747,0.018,
OCENet,,0.675,0.327,0.814,0.006,bean
OCENet,,0.546,0.149,0.604,0.026,cucumber
OCENet,,0.741,0.563,0.852,0.017,kiwi
OCENet,,0.526,0.126,0.78,0.019,loquat
OCENet,,0.578,0.155,0.664,0.008,peach
OCENet,,0.494,0.037,0.523,0.028,pepper
OCENet,,0.479,0.061,0.372,0.041,plum
OCENet,,0.714,0.513,0.795,0.019,tomato
OCENet,,0.623,0.203,0.581,0.014,watermelon
OCENet,,0.863,0.799,0.981,0.007,zucchini
