Network,Class,S,FWB,E,MAE,Plant
DaCOD,AVERAGE,0.787,0.66,0.956,0.013,
DaCOD,,0.666,0.348,0.878,0.007,bean
DaCOD,,0.756,0.615,0.952,0.012,cucumber
DaCOD,,0.835,0.781,0.97,0.013,kiwi
DaCOD,,0.735,0.586,0.962,0.011,loquat
DaCOD,,0.767,0.605,0.957,0.005,peach
DaCOD,,0.675,0.427,0.896,0.02,pepper
DaCOD,,0.7,0.5,0.951,0.039,plum
DaCOD,,0.822,0.739,0.97,0.014,tomato
DaCOD,,0.872,0.779,0.966,0.004,watermelon
DaCOD,,0.815,0.714,0.973,0.01,zucchini
