Network,Class,S,FWB,E,MAE,Plant
HitNet,AVERAGE,0.817,0.725,0.963,0.011,
HitNet,,0.722,0.518,0.918,0.006,bean
HitNet,,0.793,0.704,0.944,0.011,cucumber
HitNet,,0.869,0.827,0.98,0.01,kiwi
HitNet,,0.732,0.667,0.97,0.009,loquat
HitNet,,0.794,0.663,0.958,0.004,peach
HitNet,,0.725,0.535,0.939,0.016,pepper
HitNet,,0.747,0.565,0.935,0.026,plum
HitNet,,0.848,0.78,0.974,0.012,tomato
HitNet,,0.874,0.813,0.968,0.004,watermelon
HitNet,,0.842,0.784,0.974,0.009,zucchini
