Network,Class,S,FWB,E,MAE,Plant
RISNet,AVERAGE,0.859,0.788,0.976,0.008,
RISNet,,0.761,0.54,0.92,0.005,bean
RISNet,,0.853,0.796,0.97,0.007,cucumber
RISNet,,0.899,0.875,0.984,0.007,kiwi
RISNet,,0.853,0.803,0.982,0.006,loquat
RISNet,,0.866,0.775,0.981,0.002,peach
RISNet,,0.776,0.625,0.96,0.014,pepper
RISNet,,0.817,0.688,0.967,0.022,plum
RISNet,,0.862,0.799,0.972,0.011,tomato
RISNet,,0.926,0.887,0.981,0.003,watermelon
RISNet,,0.882,0.833,0.986,0.006,zucchini
