Network,Class,S,FWB,E,MAE,Plant
C2FNet,AVERAGE,0.807,0.693,0.954,0.011,
C2FNet,,0.593,0.252,0.685,0.006,bean
C2FNet,,0.794,0.68,0.951,0.01,cucumber
C2FNet,,0.858,0.809,0.978,0.011,kiwi
C2FNet,,0.724,0.634,0.981,0.009,loquat
C2FNet,,0.769,0.62,0.955,0.004,peach
C2FNet,,0.688,0.447,0.875,0.018,pepper
C2FNet,,0.742,0.55,0.944,0.028,plum
C2FNet,,0.839,0.757,0.967,0.013,tomato
C2FNet,,0.906,0.837,0.98,0.003,watermelon
C2FNet,,0.838,0.758,0.977,0.009,zucchini
