Network,Class,S,FWB,E,MAE,Plant
ZoomNet,AVERAGE,0.826,0.711,0.936,0.009,
ZoomNet,,0.686,0.285,0.697,0.005,bean
ZoomNet,,0.826,0.715,0.93,0.007,cucumber
ZoomNet,,0.89,0.834,0.976,0.008,kiwi
ZoomNet,,0.797,0.734,0.968,0.005,loquat
ZoomNet,,0.792,0.636,0.891,0.003,peach
ZoomNet,,0.725,0.513,0.871,0.015,pepper
ZoomNet,,0.774,0.616,0.905,0.02,plum
ZoomNet,,0.843,0.758,0.954,0.011,tomato
ZoomNet,,0.922,0.83,0.964,0.003,watermelon
ZoomNet,,0.841,0.747,0.96,0.007,zucchini
