Plant,S,FWB,E,Class,Network
peach,71.7,50.5,84.7,Peach_E_3rdW,FSPNet
peach,67.3,36.4,75.4,Peach_E_2ndW,SINet
peach,57.8,15.5,66.4,Peach_E_1stW,OCENet
pepper,76.6,61.6,94.9,Pepper_S_2ndB,HitNet
pepper,74.9,57.7,91.4,Pepper_S_3rdB,PopNet
pepper,63.1,33.8,75.9,Pepper_S_3rdW,SINet_V2
pepper,60.5,28.2,65.9,Pepper_S_2ndW,SINet
pepper,49.4,3.7,52.3,Pepper_S_1stW,OCENet
pepper,77.6,62.5,96,Pepper_FWB_1stB,RISNet
pepper,76.6,61.6,94.9,Pepper_FWB_2ndB,HitNet
pepper,74.9,57.7,91.4,Pepper_FWB_3rdB,PopNet
pepper,63.1,33.8,75.9,Pepper_FWB_3rdW,SINet_V2
pepper,60.5,28.2,65.9,Pepper_FWB_2ndW,SINet
pepper,49.4,3.7,52.3,Pepper_FWB_1stW,OCENet
pepper,77.6,62.5,96,Pepper_E_1stB,RISNet
pepper,76.6,61.6,94.9,Pepper_E_2ndB,HitNet
pepper,74.9,57.7,91.4,Pepper_E_3rdB,PopNet
pepper,63.1,33.8,75.9,Pepper_E_3rdW,SINet_V2
pepper,60.5,28.2,65.9,Pepper_E_2ndW,SINet
pepper,49.4,3.7,52.3,Pepper_E_1stW,OCENet
plum,71.56923077,51.06153846,85.59230769,AVERAGE,
plum,81.7,68.8,96.7,Plum_S_1stB,RISNet
plum,79.6,65.3,95,Plum_S_2ndB,HitNet
plum,79.1,64.3,94.4,Plum_S_3rdB,PopNet
plum,62.6,36.5,74.9,Plum_S_3rdW,SINet
plum,60.2,32.7,65.6,Plum_S_2ndW,FSPNet
plum,47.9,6.1,37.2,Plum_S_1stW,OCENet
plum,81.7,68.8,96.7,Plum_FWB_1stB,RISNet
plum,79.6,65.3,95,Plum_FWB_2ndB,HitNet
plum,79.1,64.3,94.4,Plum_FWB_3rdB,PopNet
plum,62.6,36.5,74.9,Plum_FWB_3rdW,SINet
plum,60.2,32.7,65.6,Plum_FWB_2ndW,FSPNet
plum,47.9,6.1,37.2,Plum_FWB_1stW,OCENet
plum,81.7,68.8,96.7,Plum_E_1stB,RISNet
plum,70,50,95.1,Plum_E_2ndB,DaCOD
plum,79.6,65.3,95,Plum_E_3rdB,HitNet
plum,62.6,36.5,74.9,Plum_E_3rdW,SINet
plum,60.2,32.7,65.6,Plum_E_2ndW,FSPNet
plum,47.9,6.1,37.2,Plum_E_1stW,OCENet
tomato,86.4,80,97.2,Tomato_S_1stB,HitNet
tomato,86.2,79.9,97.2,Tomato_S_2ndB,RISNet
tomato,85.8,79.5,97.1,Tomato_S_3rdB,PopNet
tomato,79.6,67.4,92.6,Tomato_S_3rdW,FSPNet
tomato,78.9,67.5,93.7,Tomato_S_2ndW,SINet
tomato,71.4,51.3,79.5,Tomato_S_1stW,OCENet
tomato,86.4,80,97.2,Tomato_FWB_1stB,HitNet
tomato,86.2,79.9,97.2,Tomato_FWB_2ndB,RISNet
tomato,85.8,79.5,97.1,Tomato_FWB_3rdB,PopNet
tomato,78.9,67.5,93.7,Tomato_FWB_3rdW,SINet
tomato,79.6,67.4,92.6,Tomato_FWB_2ndW,FSPNet
tomato,71.4,51.3,79.5,Tomato_FWB_1stW,OCENet
tomato,86.4,80,97.2,Tomato_E_1stB,HitNet
tomato,86.2,79.9,97.2,Tomato_E_2ndB,RISNet
tomato,85.8,79.5,97.1,Tomato_E_3rdB,PopNet
tomato,78.9,67.5,93.7,Tomato_E_3rdW,SINet
tomato,79.6,67.4,92.6,Tomato_E_2ndW,FSPNet
tomato,71.4,51.3,79.5,Tomato_E_1stW,OCENet
watermelon,92.8,87.8,97.8,Watermelon_S_1stB,HitNet
watermelon,92.7,89.1,98.1,Watermelon_S_2ndB,PopNet
watermelon,92.6,88.7,98.1,Watermelon_S_3rdB,RISNet
watermelon,85,71.6,92.3,Watermelon_S_3rdW,SINet
watermelon,83.2,71.7,88.4,Watermelon_S_2ndW,SINet_V2
watermelon,62.3,20.3,58.1,Watermelon_S_1stW,OCENet
watermelon,92.7,89.1,98.1,Watermelon_FWB_1stB,PopNet
watermelon,92.6,88.7,98.1,Watermelon_FWB_2ndB,RISNet
watermelon,92.8,87.8,97.8,Watermelon_FWB_3rdB,HitNet
watermelon,83.2,71.7,88.4,Watermelon_FWB_3rdW,SINet_V2
watermelon,85,71.6,92.3,Watermelon_FWB_2ndW,SINet
watermelon,62.3,20.3,58.1,Watermelon_FWB_1stW,OCENet
watermelon,92.7,89.1,98.1,Watermelon_E_1stB,PopNet
watermelon,92.6,88.7,98.1,Watermelon_E_2ndB,RISNet
watermelon,90.6,83.7,98,Watermelon_E_3rdB,C2FNet
watermelon,85,71.6,92.3,Watermelon_E_3rdW,SINet
watermelon,83.2,71.7,88.4,Watermelon_E_2ndW,SINet_V2
watermelon,62.3,20.3,58.1,Watermelon_E_1stW,OCENet
zucchini,88.2,83.3,98.6,Zucchini_S_1stB,RISNet
zucchini,87.8,82.4,98.5,Zucchini_S_2ndB,HitNet
zucchini,87.2,81.4,98.3,Zucchini_S_3rdB,PreyNet
zucchini,80.4,69.5,96.7,Zucchini_S_3rdW,PFNet
zucchini,79.4,65.6,95.4,Zucchini_S_2ndW,SINet
zucchini,75,57.2,86.7,Zucchini_S_1stW,PopNet
zucchini,88.2,83.3,98.6,Zucchini_FWB_1stB,RISNet
zucchini,87.8,82.4,98.5,Zucchini_FWB_2ndB,HitNet
zucchini,87.2,81.4,98.3,Zucchini_FWB_3rdB,PreyNet
zucchini,80.6,68.2,94.2,Zucchini_FWB_3rdW,FSPNet
zucchini,79.4,65.6,95.4,Zucchini_FWB_2ndW,SINet
zucchini,75,57.2,86.7,Zucchini_FWB_1stW,PopNet
zucchini,88.2,83.3,98.6,Zucchini_E_1stB,RISNet
zucchini,87.8,82.4,98.5,Zucchini_E_2ndB,HitNet
zucchini,87.2,81.4,98.3,Zucchini_E_3rdB,PreyNet
zucchini,79.4,65.6,95.4,Zucchini_E_3rdW,SINet
zucchini,80.6,68.2,94.2,Zucchini_E_2ndW,FSPNet
zucchini,75,57.2,86.7,Zucchini_E_1stW,PopNet
