Network,Class,S,FWB,E,MAE,Plant
PreyNet,AVERAGE,0.84,0.748,0.951,0.008,
PreyNet,,0.576,0.187,0.561,0.006,bean
PreyNet,,0.817,0.725,0.953,0.008,cucumber
PreyNet,,0.901,0.867,0.983,0.007,kiwi
PreyNet,,0.826,0.771,0.981,0.005,loquat
PreyNet,,0.846,0.75,0.967,0.002,peach
PreyNet,,0.72,0.512,0.861,0.015,pepper
PreyNet,,0.789,0.64,0.927,0.02,plum
PreyNet,,0.855,0.786,0.966,0.01,tomato
PreyNet,,0.916,0.853,0.961,0.003,watermelon
PreyNet,,0.872,0.811,0.981,0.006,zucchini
