[2025-06-24 10:06:02 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:08:46 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:14:10 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:16:40 AM-Train.py-INFO:CCD-Train]
[2025-06-24 11:07:13 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0060/0168], Loss: 2.0459]
[2025-06-24 11:08:20 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0080/0168], Loss: 2.0203]
[2025-06-24 11:09:26 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0100/0168], Loss: 2.0205]
[2025-06-24 11:10:33 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0120/0168], Loss: 2.0069]
[2025-06-24 11:11:39 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0140/0168], Loss: 1.9988]
[2025-06-24 11:12:45 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0160/0168], Loss: 1.9877]
[2025-06-24 11:13:13 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0000/0168], Loss: 2.0093]
[2025-06-24 11:14:20 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0020/0168], Loss: 1.9758]
[2025-06-24 11:15:26 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0040/0168], Loss: 1.9696]
[2025-06-24 11:16:33 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0060/0168], Loss: 1.9612]
[2025-06-24 11:17:39 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0080/0168], Loss: 1.9549]
[2025-06-24 11:18:46 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0100/0168], Loss: 1.9459]
[2025-06-24 11:19:52 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0120/0168], Loss: 1.9378]
[2025-06-24 11:20:58 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0140/0168], Loss: 1.9490]
[2025-06-24 11:22:05 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0160/0168], Loss: 1.9268]
[2025-06-24 11:22:33 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0000/0168], Loss: 1.9239]
[2025-06-24 11:23:39 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0020/0168], Loss: 1.9207]
[2025-06-24 11:24:46 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0040/0168], Loss: 1.9103]
[2025-06-24 11:25:52 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0060/0168], Loss: 1.9045]
[2025-06-24 11:26:59 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0080/0168], Loss: 1.8952]
[2025-06-24 11:28:05 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0100/0168], Loss: 1.8909]
[2025-06-24 11:29:11 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0120/0168], Loss: 1.8912]
[2025-06-24 11:30:18 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0140/0168], Loss: 1.8808]
[2025-06-24 11:31:24 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0160/0168], Loss: 1.8768]
[2025-06-24 11:31:51 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0000/0168], Loss: 1.8722]
[2025-06-24 11:32:58 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0020/0168], Loss: 1.8652]
[2025-06-24 11:34:04 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0040/0168], Loss: 1.8612]
[2025-06-24 11:35:11 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0060/0168], Loss: 1.8658]
[2025-06-24 11:36:17 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0080/0168], Loss: 1.8641]
[2025-06-24 11:37:23 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0100/0168], Loss: 1.8445]
[2025-06-24 11:38:30 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0120/0168], Loss: 1.8377]
[2025-06-24 11:39:36 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0140/0168], Loss: 1.8337]
[2025-06-25 09:48:25 AM-Train.py-INFO:CCD-Train]
[2025-06-25 09:49:02 AM-Train.py-INFO:#TRAIN#:Epoch [001/100], Step [0000/0168], Loss: 2.7163]
[2025-06-25 09:50:13 AM-Train.py-INFO:#TRAIN#:Epoch [001/100], Step [0020/0168], Loss: 2.6779]
[2025-06-25 09:51:24 AM-Train.py-INFO:#TRAIN#:Epoch [001/100], Step [0040/0168], Loss: 2.6596]
[2025-06-25 09:52:35 AM-Train.py-INFO:#TRAIN#:Epoch [001/100], Step [0060/0168], Loss: 2.6254]
[2025-06-25 09:53:46 AM-Train.py-INFO:#TRAIN#:Epoch [001/100], Step [0080/0168], Loss: 2.5872]
[2025-06-25 09:54:57 AM-Train.py-INFO:#TRAIN#:Epoch [001/100], Step [0100/0168], Loss: 2.5308]
[2025-06-25 09:56:08 AM-Train.py-INFO:#TRAIN#:Epoch [001/100], Step [0120/0168], Loss: 2.5226]
